"Product Name","Product Description","ProductCode","Media Standard URL 1","Category","Product Family"
"Copper Coffee Press","This classic 8-cup coffee press has a copper and chrome-plated steel frame and lid that will last for years. It features a wide, matte-black polypropylene handle that provides a cool, comfortable grip and adds to the modern style of the design. The borosilicate glass carafe is heat-resistant, and the entire press is dishwasher safe.","CP-2","https://img4demo.herokuapp.com/image/capricorn/copper_coffee_press/jpg","Coffee Accessories","Personal"
"Glass Drip Coffee Maker","This pure glass, 8-cup coffeemaker to help you brew the perfect cup of coffee. It is made from non-porous Borosilicate glass, which will not absorb odors or chemical residues.","GDG-1","https://img4demo.herokuapp.com/image/capricorn/GDG-1/jpg","Coffee Accessories","Personal"
"Easton Espresso Machine","Easton Espresso Machine is the perfect addition to your restaurant, coffee shop, or cafe! It brings together convenience, affordability, and ease-of-use into one espresso machine. Rather than volumetric buttons, there is a singular button for starting and stopping the brewing process. This means that the barista will have to be a little more involved, but they also have more freedom in controlling each shot that they pull.","E-ESP-001","https://img4demo.herokuapp.com/image/capricorn/E-ESP-001/jpg","Machines/Espresso Machines","Commercial"
"Capricorn II Group Espresso Machine","The Capricorn II group espresso machine is the perfect addition to your restaurant, coffee shop, or cafe! Not only does this machine give you the opportunity to add one-of-a kind hot beverages to your menu, but its stainless steel dual boiler system and automatic functionality ensure fast, efficient service for your customers. A user-friendly option for any high-volume establishment, this espresso machine is sure to take your customer's morning fix to the next level.","ID-CAP-II","https://img4demo.herokuapp.com/image/capricorn/ID-CAP-II/jpg","Machines/Espresso Machines","Commercial"
"The Dual Boiler","At the heart of this machine is it's dual boiler heating system. The boiler, for the espresso shot, is PID temperature controlled, while a separate steam boiler offers instant and powerful steam on demand. So you can extract your shot at the right temperature, delivering optimal flavor, while simultaneously steaming your milk to cafe quality.","PS-DB","https://img4demo.herokuapp.com/image/capricorn/PS-DB/jpg","Machines/Coffee Machines","Industrial"
"The Infuser","The Infuser delivers optimal espresso flavor in every cup. It pre-infuses ground coffee with low, steady water pressure before extraction, gently expanding the grinds before stepping up to high pressure. The result is a more even extraction, which produces balanced espresso flavor.","Q85YQ2","https://img4demo.herokuapp.com/image/capricorn/infuser1/jpg","Machines/Coffee Machines","Commercial"
"Commercial Coffee Grinder","This espresso grinder uses 2 1/2"" blades to finely grind whole bean coffee so that you can serve delicious espresso at your coffee shop, espresso bar, and more! A unique micro adjustment system and a manual timer give you infinite control over grind settings to get the precise grind that you need. A cast aluminum frame ensures perfect grind head alignment for consistent, long-lasting service.","CCG-1","https://img4demo.herokuapp.com/image/capricorn/CCG-1/png","Grinders","Commercial"
"Ceramic Coffee Grinder","This multi-purpose grinder prepares fresh coffee, salt, pepper, green tea, and even sesame seeds. A ceramic grinding mechanism never alters flavor of grinds, resulting in fresh, flavorful, and pure ingredients","CERCG-1","https://img4demo.herokuapp.com/image/capricorn/CERCG-1-1/jpg","Grinders","Personal"
"Coffee Filters","Use this pack of 100 unbleached paper filters for a rich, full coffee flavor.","CF-1","https://img4demo.herokuapp.com/image/capricorn/filters/jpg","Coffee Accessories","Personal"
"Medium Roast Ethiopian Coffee Bean","This medium roast Ethiopian coffee has graceful notes of chocolate, paired with flavors of molasses and nuts.","E-MR-B","https://img4demo.herokuapp.com/image/capricorn/E-MR-B/png","Beans/Medium","Personal"
"Capricorn III Group Espresso Machine","The Capricorn III group espresso machine is the perfect addition to your restaurant, coffee shop, or cafe! Not only does this machine give you the opportunity to add one-of-a kind hot beverages to your menu, but its stainless steel dual boiler system and automatic functionality ensure fast, efficient service for your customers. A user-friendly option for any high-volume establishment, this espresso machine is sure to take your customer's morning fix to the next level.","ID-CAP-III","https://img4demo.herokuapp.com/image/capricorn/CapricornIII1/jpg","Machines/Espresso Machines/Advanced Espresso Machines","Industrial"
"The Elite","The Elite espresso machine is the perfect addition to your restaurant, coffee shop, or cafe! Not only does this machine give you the opportunity to add one-of-a kind hot beverages to your menu, but its stainless steel dual boiler system and automatic functionality ensure fast, efficient service for your customers. A user-friendly option for any high-volume establishment, this espresso machine is sure to take your customer's morning fix to the next level.","PS-EL","https://img4demo.herokuapp.com/image/capricorn/PS-EL-1/jpg","Machines/Espresso Machines/Advanced Espresso Machines","Commercial"
"Easy Mart Espresso Machine","Prepare café-quality espresso that?s smooth and deliciously aromatic with the NEW Easy Mart Capsule Machine's easy to use one-touch operation.","EM-ESP-001","https://img4demo.herokuapp.com/image/capricorn/EM-ESP-1/jpg","Machines/Espresso Machines","Personal"
"Java Black Coffee Press","This classic 8-cup coffee press has a black chrome-plated steel frame and lid that will last for years. It features a wide, matte-black polypropylene handle that provides a cool, comfortable grip and adds to the modern style of the design. The borosilicate glass carafe is heat-resistant, and the entire press is dishwasher safe. Dimensions: 10cm D x 17cm W x 25cm H, or 4.2""D x 6.9""W x 9.7""H","CP-3","https://img4demo.herokuapp.com/image/capricorn/cp-3/jpg","Coffee Accessories","Personal"
"Cuban Libre Dark Roast Bean Bag","This roast will transport you to a beach cabana in Cuba on a warm summer, sunny day. The seagulls flock above you, the shade of the palm tree cools you and you want the feeling to linger on.","CL-DR-BB","https://img4demo.herokuapp.com/image/capricorn/CL-Dr-BB/png","Beans/Dark","Personal"
"Costa Rican Decaf Roast Bean Bag","A water processed decaf that is vivid and packed with flavor, Costa Rican Decaf is made from 100% organic water processed decaffeinated beans. The Decaf is surprisingly (some say freakishly) versatile: about the only preparation we don?t see consistently enjoyable results in is the siphon.","CR-DEC","https://img4demo.herokuapp.com/image/capricorn/CR-DECAF/png","Beans/Medium","Personal"
"Colombian Dark Roast Revolution Blend","These expertly roasted beans are the pride and joy of Colombia. They have taken the coffee world by storm. Try it for yourself!","CREV-DR-BLEND","https://img4demo.herokuapp.com/image/capricorn/CREV-DR-BLEND/png","Beans/Dark","Commercial"
"Commercial - Medium Scale Brewer","This coffee brewer is an excellent addition to any cafe or restaurant where a reliable source of coffee is needed. It brews coffee directly into an airpot at optimum temperatures between 201 and 205 degrees Fahrenheit for a rich, consistent product every time. While this model is intended for low volume use, 1650W of power allows you to brew up to 56 cups per hour.","CM-MSB-300","https://img4demo.herokuapp.com/image/capricorn/CM-MSB-300/png","Machines/Espresso Machines/Advanced Espresso Machines","Commercial"
"Organic Paper Coffee Filters","Great coffee filters are made up of filaments approximately 20 micrometres wide, which allow particles through that are less than approximately 10 to 15 micrometres.\nPackage contains 300 filters.","COF-FIL","https://img4demo.herokuapp.com/image/capricorn/COF-FIL/jpg","Coffee Accessories","Commercial"
"Stainless Steel Coffee Press","This classic 8-cup coffee press has a chrome-plated steel frame and lid that will last for years. It features a wide, matte-black polypropylene handle that provides a cool, comfortable grip and adds to the modern style of the design. The borosilicate glass carafe is heat-resistant, and the entire press is dishwasher safe. Dimensions: 10cm D x 17cm W x 25cm H, or 4.2""D x 6.9""W x 9.7""H","CP-1","https://img4demo.herokuapp.com/image/capricorn/ss-coffeepress1/jpg","Coffee Accessories","Nikon"
